Title,Author,Link on the book,Rating of users
Королевство Бездуш. Lastfata,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/korolevstvo-bezdush-lastfata/,"4,9"
Золото мертвых,Андрей Васильев,https://www.litres.ru/andrey-vasilev-4/zoloto-mertvyh/,"4,8"
Стратегия воздействия,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/strategiya-vozdeystviya/,"4,7"
Губитель живых,Павел Корнев,https://www.litres.ru/pavel-kornev/gubitel-zhivyh/,"4,7"
Чудовище Карнохельма,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/chudovische-karnohelma/,"4,9"
Награда для генерала. Книга вторая: красные пески,Лена Летняя,https://www.litres.ru/lena-letnyaya-13023696/nagrada-dlya-generala-kniga-vtoraya-krasnye-peski/,"4,7"
Я тебя рисую,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/ya-tebya-risuu-40597235/,"4,8"
Плацдарм для одиночки,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/placdarm-dlya-odinochki/,"4,6"
Огни небес,Роберт Джордан,https://www.litres.ru/robert-dzhordan/ogni-nebes/,"4,8"
"Невест так много, он один. Книга 1",Милена Завойчинская,https://www.litres.ru/milena-zavoychinskaya/nevest-tak-mnogo-on-odin-kniga-1/,"4,9"
Вейн,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/veyn/,"4,8"
Вера в ближнего,Артем Каменистый,https://www.litres.ru/artem-kamenistyy/vera-v-blizhnego/,"4,8"
Запретная магия,Марина Эльденберт,https://www.litres.ru/marina-eldenbert/zapretnaya-magiya/,"4,6"
Пилигрим. Кентарх,Константин Калбазов,https://www.litres.ru/konstantin-kalbazov-2218075/piligrim-kentarh-64617642/,"4,5"
"Академия темной магии 2. Подчиняться, чтобы править",Анна Терешкова,https://www.litres.ru/anna-tereshkova-13021/akademiya-temnoy-magii-2-podchinyatsya-chtoby-pravit/,"4,8"
Дозоры. От Ночного до Шестого (сборник),Владимир Васильев,https://www.litres.ru/sergey-lukyanenko/dozory-ot-nochnogo-do-shestogo/,"4,7"
Тень и кость,Ли Бардуго,https://www.litres.ru/ley-bardugo/ten-i-kost/,"4,6"
Школа пепла,Виталий Зыков,https://www.litres.ru/vitaliy-zykov/shkola-pepla/,"4,7"
Доблесть воина,Александр Мазин,https://www.litres.ru/aleksandr-mazin/doblest-voina/,"4,6"
Замуж в другой мир,Анна Минаева,https://www.litres.ru/anna-valerevna-minaeva/zamuzh-v-drugoy-mir/,"4,3"
Асимметричный ответ,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/asimmetrichnyy-otvet/,"4,7"
Иной мир. Часть первая,Никита Шарипов,https://www.litres.ru/nikita-eduardovich-sharipov/inoy-mir-chast-pervaya/,"4,3"
Запрет на вмешательство,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/zapret-na-vmeshatelstvo/,"4,5"
Академия демонов. Когда высшие плачут,Ная Геярова,https://www.litres.ru/naya-geyarova/akademiya-demonov-kogda-vysshie-plachut/,"4,5"
Соль музыки,Терри Пратчетт,https://www.litres.ru/terri-pratchett/sol-muzyki-51366791/,"4,8"
«Линия Сталина». «Колыбель» Победы,Герман Романов,https://www.litres.ru/german-romanov/liniya-stalina-kolybel-pobedy/,"4,3"
Инстинкт Зла. Возрожденная,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/instinkt-zla-vozrozhdennaya/,"4,8"
Еще один шанс,Ерофей Трофимов,https://www.litres.ru/erofey-trofimov/esche-odin-shans/,"4,7"
Николай Хмурый. Империя очень зла!,Михаил Ланцов,https://www.litres.ru/mihail-lancov/nikolay-hmuryy-imperiya-ochen-zla/,"3,9"
Между двумя мирами. Школа выживания,Марина Ефиминюк,https://www.litres.ru/marina-efiminuk/mezhdu-dvumya-mirami-shkola-vyzhivaniya/,"4,8"
Хранитель кладов,Андрей Васильев,https://www.litres.ru/andrey-vasilev-4/hranitel-kladov/,"4,8"
Королевство Бездуш. Академия,Марина Суржевская,https://www.litres.ru/marina-surzhevskaya-22364624/korolevstvo-bezdush-akademiya/,"4,8"
Сиделка,Делия Росси,https://www.litres.ru/deliya-rossi-21753416/sidelka/,"4,7"
Варяг,Александр Мазин,https://www.litres.ru/aleksandr-mazin/varyag/,"4,6"
Замок на двоих,Анастасия Маркова,https://www.litres.ru/anastasiya-markova/zamok-na-dvoih/,"4,6"
Луна цвета стали,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/luna-cveta-stali/,"4,7"
«Карпе Югулум» Хватай за горло,Терри Пратчетт,https://www.litres.ru/terri-pratchett/hvatay-za-gorlo-64489452/,"4,9"
Стеллар. Архонт,Роман Прокофьев,https://www.litres.ru/roman-urevich-prokofev/stellar-arhont/,"4,9"
Месть Тьмы. Книга первая. Кровь за кровь,Сергей Тармашев,https://www.litres.ru/sergey-tarmashev/mest-tmy-krov-za-krov/,"4,3"
Доминик Каррера,Дмитрий Колесников,https://www.litres.ru/dmitriy-kolesnikov-24239723/dominik-karrera-57266185/,"4,9"
Северная долина,Вера Чиркова,https://www.litres.ru/vera-chirkova/severnaya-dolina/,"4,6"
На отбор вызывали?,Ольга Коротаева,https://www.litres.ru/olga-korotaeva/na-otbor-vyzyvali-64659242/,"4,6"
Плотность огня,Макс Глебов,https://www.litres.ru/maks-alekseevich-glebov/plotnost-ognya/,"4,6"
Гарри Поттер. Полная коллекция,Дж. К. Роулинг,https://www.litres.ru/dzhoan-ketlin-rouling/garri-potter-polnaya-kollekciya/,"2,8"
Штурм и буря,Ли Бардуго,https://www.litres.ru/ley-bardugo/shturm-i-burya/,"4,6"
Аптека для нелюдей,Галина Герасимова,https://www.litres.ru/galina-vasilevna-gerasimova/apteka-dlya-neludey/,"4,7"
Смерти нет,Александр Мазин,https://www.litres.ru/aleksandr-mazin/smerti-net-64028376/,"4,8"
"Академия темной магии. Умереть, чтобы выжить",Анна Терешкова,https://www.litres.ru/anna-tereshkova-13021853/akademiya-temnoy-magii-umeret-chtoby-vyzhit/,"4,7"
Лейб-хирург,Анатолий Дроздов,https://www.litres.ru/anatoliy-drozdov/leyb-hirurg/,"4,7"
Академия нечисти,Тальяна Орлова,https://www.litres.ru/talyana-orlova-18553754/akademiya-nechisti/,"4,7"
Князь Мещерский,Анатолий Дроздов,https://www.litres.ru/anatoliy-drozdov/knyaz-mescherskiy/,"4,7"
